protein1	protein2	relation
ERBB3	TGFA	INTERACTS_WITH
ERBB4	FGF5	INTERACTS_WITH
ERBB4	IGF1	INTERACTS_WITH
ERBB4	IGF2	INTERACTS_WITH
ERBB4	NGF	INTERACTS_WITH
ERBB4	NRG1	INTERACTS_WITH
ERBB4	NTF3	INTERACTS_WITH
ERBB4	OLIG2	INTERACTS_WITH
ERBB4	PDGFD	INTERACTS_WITH
ERBB4	PVALB	INTERACTS_WITH
ERBB4	STMN1	INTERACTS_WITH
ERBB4	TGFA	INTERACTS_WITH
ERMN	HAPLN2	INTERACTS_WITH
ERMN	MBP	INTERACTS_WITH
ERMN	MOBP	INTERACTS_WITH
ERMN	OPALIN	INTERACTS_WITH
ESCO2	GLYATL1	INTERACTS_WITH
ESCO2	MCM10	INTERACTS_WITH
ESCO2	SGO1	INTERACTS_WITH
EXO1	HJURP	INTERACTS_WITH
EXO1	KIF14	INTERACTS_WITH
EXO1	MAD2L1	INTERACTS_WITH
EXO1	MCM10	INTERACTS_WITH
EXO1	MCM2	INTERACTS_WITH
EXO1	MCM5	INTERACTS_WITH
EXO1	MELK	INTERACTS_WITH
EXO1	NCAPG	INTERACTS_WITH
EXO1	NDC80	INTERACTS_WITH
EXO1	NEIL3	INTERACTS_WITH
EXO1	NUSAP1	INTERACTS_WITH
EXO1	PBK	INTERACTS_WITH
EXO1	RMI2	INTERACTS_WITH
EXO1	RNASEH2A	INTERACTS_WITH
EXO1	RRM2	INTERACTS_WITH
EXO1	TOP2A	INTERACTS_WITH
EXO1	TPX2	INTERACTS_WITH
EXO1	TTK	INTERACTS_WITH
EXO1	TYMS	INTERACTS_WITH
EYA4	SIX1	INTERACTS_WITH
EYS	RDH12	INTERACTS_WITH
F12	F3	INTERACTS_WITH
F12	F5	INTERACTS_WITH
F3	F5	INTERACTS_WITH
F3	P2RY12	INTERACTS_WITH
F3	SELPLG	INTERACTS_WITH
F3	TFPI	INTERACTS_WITH
F3	VWF	INTERACTS_WITH
FABP7	GFAP	INTERACTS_WITH
FABP7	NES	INTERACTS_WITH
FABP7	NOTCH3	INTERACTS_WITH
FABP7	SLC1A3	INTERACTS_WITH
FBLN2	POSTN	INTERACTS_WITH
FBN2	LUM	INTERACTS_WITH
FEZF2	NEUROD6	INTERACTS_WITH
FEZF2	SATB2	INTERACTS_WITH
FEZF2	TBR1	INTERACTS_WITH
FGF13	FGFR3	INTERACTS_WITH
FGF13	FLT1	INTERACTS_WITH
FGF13	IGF1	INTERACTS_WITH
FGF13	NRP1	INTERACTS_WITH
FGF13	PDGFRA	INTERACTS_WITH
FGF13	PTHLH	INTERACTS_WITH
FGF13	PTX3	INTERACTS_WITH
FGF13	SCN5A	INTERACTS_WITH
FGF13	SDC1	INTERACTS_WITH
FGF13	SDC4	INTERACTS_WITH
FGF5	FGFR3	INTERACTS_WITH
FGF5	FLT1	INTERACTS_WITH
FGF5	FLT3	INTERACTS_WITH
FGF5	IGF1	INTERACTS_WITH
FGF5	KIT	INTERACTS_WITH
FGF5	KL	INTERACTS_WITH
FGF5	MET	INTERACTS_WITH
FGF5	NGF	INTERACTS_WITH
FGF5	NGFR	INTERACTS_WITH
FGF5	NRP1	INTERACTS_WITH
FGF5	PDGFRA	INTERACTS_WITH
FGF5	PDGFRB	INTERACTS_WITH
FGF5	PECAM1	INTERACTS_WITH
FGF5	RSPO2	INTERACTS_WITH
FGF5	SDC1	INTERACTS_WITH
FGFR3	IGF1	INTERACTS_WITH
FGFR3	IGF2	INTERACTS_WITH
FGFR3	KL	INTERACTS_WITH
FGFR3	MSX2	INTERACTS_WITH
FGFR3	NGF	INTERACTS_WITH
FGFR3	NPPC	INTERACTS_WITH
FGFR3	PDGFD	INTERACTS_WITH
FGFR3	TGFA	INTERACTS_WITH
FGFR3	TWIST1	INTERACTS_WITH
FGL2	MS4A6A	INTERACTS_WITH
FILIP1	FLNA	INTERACTS_WITH
FILIP1	RHOD	INTERACTS_WITH
FLNA	ITGA2	INTERACTS_WITH
FLNA	ITGA4	INTERACTS_WITH
FLNA	ITGB4	INTERACTS_WITH
FLNA	SGCG	INTERACTS_WITH
FLNA	VWF	INTERACTS_WITH
FLT1	IGF1	INTERACTS_WITH
FLT1	IGF2	INTERACTS_WITH
FLT1	MMP2	INTERACTS_WITH
FLT1	NGF	INTERACTS_WITH
FLT1	NRP1	INTERACTS_WITH
FLT1	NTF3	INTERACTS_WITH
FLT1	PDGFD	INTERACTS_WITH
FLT1	PECAM1	INTERACTS_WITH
FLT1	TGFA	INTERACTS_WITH
FLT3	IGF1	INTERACTS_WITH
FLT3	IGF2	INTERACTS_WITH
FLT3	ITGAM	INTERACTS_WITH
FLT3	NGF	INTERACTS_WITH
FLT3	PDGFD	INTERACTS_WITH
FLT3	SYK	INTERACTS_WITH
FLT3	TGFA	INTERACTS_WITH
FMOD	LUM	INTERACTS_WITH
FMOD	OGN	INTERACTS_WITH
FMOD	OMD	INTERACTS_WITH
FMOD	PRELP	INTERACTS_WITH
FMOD	VCAN	INTERACTS_WITH
FOLH1	GRP	INTERACTS_WITH
FOSB	FOSL2	INTERACTS_WITH
FOSB	NR4A1	INTERACTS_WITH
FOXJ1	TEKT1	INTERACTS_WITH
FOXP2	TBR1	INTERACTS_WITH
FRAS1	FREM2	INTERACTS_WITH
FRAS1	GRIP1	INTERACTS_WITH
FREM2	GRIP1	INTERACTS_WITH
FSHR	VIP	INTERACTS_WITH
FST	SMOC1	INTERACTS_WITH
FXYD1	PLN	INTERACTS_WITH
FXYD1	TAC1	INTERACTS_WITH
GABRD	SLC6A11	INTERACTS_WITH
GABRD	SLC6A13	INTERACTS_WITH
GAD1	GAD2	INTERACTS_WITH
GAD1	GFAP	INTERACTS_WITH
GAD1	GGT5	INTERACTS_WITH
GAD1	PVALB	INTERACTS_WITH
GAD1	SLC17A6	INTERACTS_WITH
GAD1	SLC17A7	INTERACTS_WITH
GAD1	SLC32A1	INTERACTS_WITH
GAD1	SST	INTERACTS_WITH
GAD1	TBR1	INTERACTS_WITH
GAD2	GGT5	INTERACTS_WITH
GAD2	PVALB	INTERACTS_WITH
GAD2	SLC17A6	INTERACTS_WITH
GAD2	SLC17A7	INTERACTS_WITH
GAD2	SLC30A10	INTERACTS_WITH
GAD2	SLC32A1	INTERACTS_WITH
GAD2	SST	INTERACTS_WITH
GAD2	STX1A	INTERACTS_WITH
GALR1	OPRD1	INTERACTS_WITH
GALR1	OPRM1	INTERACTS_WITH
GAS1	LRP2	INTERACTS_WITH
GATA3	IKZF1	INTERACTS_WITH
GATA3	IL33	INTERACTS_WITH
GATA3	MYB	INTERACTS_WITH
GATA3	RORA	INTERACTS_WITH
GATA3	SOX4	INTERACTS_WITH
GATA3	STAT4	INTERACTS_WITH
GFAP	INA	INTERACTS_WITH
GFAP	ITGAM	INTERACTS_WITH
GFAP	MBP	INTERACTS_WITH
GFAP	MOG	INTERACTS_WITH
GFAP	NEFL	INTERACTS_WITH
GFAP	NEFM	INTERACTS_WITH
GFAP	NES	INTERACTS_WITH
GFAP	OLIG1	INTERACTS_WITH
GFAP	OLIG2	INTERACTS_WITH
GFAP	PDGFRA	INTERACTS_WITH
GFAP	PLP1	INTERACTS_WITH
GFAP	PVALB	INTERACTS_WITH
GFAP	SLC17A7	INTERACTS_WITH
GFAP	SLC1A2	INTERACTS_WITH
GFAP	SLC1A3	INTERACTS_WITH
GFAP	SOX10	INTERACTS_WITH
GFAP	TBR1	INTERACTS_WITH
GFAP	VIM	INTERACTS_WITH
GFRA1	NGF	INTERACTS_WITH
GFRA1	SOX10	INTERACTS_WITH
GGT5	GPX8	INTERACTS_WITH
GGT5	HPGDS	INTERACTS_WITH
GGT5	RGS9	INTERACTS_WITH
GINS2	GINS3	INTERACTS_WITH
GINS2	MCM10	INTERACTS_WITH
GINS2	MCM2	INTERACTS_WITH
GINS2	MCM5	INTERACTS_WITH
GINS2	NCAPG	INTERACTS_WITH
GINS2	TOP2A	INTERACTS_WITH
GINS2	TYMS	INTERACTS_WITH
GINS3	MCM10	INTERACTS_WITH
GINS3	MCM2	INTERACTS_WITH
GINS3	MCM5	INTERACTS_WITH
GJA1	GJB6	INTERACTS_WITH
GJA1	GJC1	INTERACTS_WITH
GJA1	PKP2	INTERACTS_WITH
GJA1	SCN5A	INTERACTS_WITH
GJA1	TJP2	INTERACTS_WITH
GJA1	TNNT2	INTERACTS_WITH
GJA1	TUBA1A	INTERACTS_WITH
GJA1	TUBB	INTERACTS_WITH
GJA1	TUBB2B	INTERACTS_WITH
GJA1	TUBB3	INTERACTS_WITH
GJB6	GJC1	INTERACTS_WITH
GJB6	SLC26A4	INTERACTS_WITH
GJC1	HCN4	INTERACTS_WITH
GLYATL1	OPN4	INTERACTS_WITH
GNAL	GNG11	INTERACTS_WITH
GNAL	HTR7	INTERACTS_WITH
GNG11	HTR7	INTERACTS_WITH
GNG11	NMU	INTERACTS_WITH
GPC2	GPC3	INTERACTS_WITH
GPC2	MDK	INTERACTS_WITH
GPC2	SDC1	INTERACTS_WITH
GPC3	IGF2	INTERACTS_WITH
GPC3	SDC1	INTERACTS_WITH
GPC3	SULF2	INTERACTS_WITH
GPC3	TFPI	INTERACTS_WITH
GPC3	UNC5D	INTERACTS_WITH
GPER1	NMU	INTERACTS_WITH
GPER1	OPRM1	INTERACTS_WITH
GPR17	ITGA4	INTERACTS_WITH
GPR17	P2RY12	INTERACTS_WITH
GPR37	GPR37L1	INTERACTS_WITH
GPR6	GPR88	INTERACTS_WITH
GPRC5C	GRM2	INTERACTS_WITH
GPX8	HPGDS	INTERACTS_WITH
GPX8	SOD3	INTERACTS_WITH
GRIA1	GRID2	INTERACTS_WITH
GRIA1	GRIK3	INTERACTS_WITH
GRIA1	GRIN2C	INTERACTS_WITH
GRIA1	GRIN2D	INTERACTS_WITH
GRIA1	GRIN3A	INTERACTS_WITH
GRIA1	GRIP1	INTERACTS_WITH
GRIA1	GRIP2	INTERACTS_WITH
GRIA1	GRM1	INTERACTS_WITH
GRIA1	GRM2	INTERACTS_WITH
GRIA1	GRM4	INTERACTS_WITH
GRIA1	OLFM3	INTERACTS_WITH
GRIA1	SLC17A7	INTERACTS_WITH
GRIA1	SLC32A1	INTERACTS_WITH
GRIA1	SYN3	INTERACTS_WITH
GRID2	GRID2IP	INTERACTS_WITH
GRIK1	GRIK3	INTERACTS_WITH
GRIK1	GRM1	INTERACTS_WITH
GRIK1	GRM2	INTERACTS_WITH
GRIK1	GRM4	INTERACTS_WITH
GRIN2C	GRIN2D	INTERACTS_WITH
GRIN2C	GRIN3A	INTERACTS_WITH
GRIN2C	NOS1	INTERACTS_WITH
GRIN2C	P2RX7	INTERACTS_WITH
GRIN2C	PDYN	INTERACTS_WITH
GRIN2C	PVALB	INTERACTS_WITH
GRIN2D	GRIN3A	INTERACTS_WITH
GRIN2D	NOS1	INTERACTS_WITH
GRIN2D	P2RX7	INTERACTS_WITH
GRIN2D	PDYN	INTERACTS_WITH
GRIN3A	PDYN	INTERACTS_WITH
GRM1	GRM4	INTERACTS_WITH
GRM1	RORA	INTERACTS_WITH
GRM2	GRM4	INTERACTS_WITH
GRM2	HTR2A	INTERACTS_WITH
GRP	SST	INTERACTS_WITH
GRP	TAC1	INTERACTS_WITH
GRP	VIP	INTERACTS_WITH
GRP	VIPR2	INTERACTS_WITH
GTF2A1L	STON1	INTERACTS_WITH
GTSE1	HJURP	INTERACTS_WITH
GTSE1	MELK	INTERACTS_WITH
GTSE1	MKI67	INTERACTS_WITH
GTSE1	TOP2A	INTERACTS_WITH
GTSE1	TROAP	INTERACTS_WITH
GTSE1	UBE2C	INTERACTS_WITH
GUCA1C	SLC25A18	INTERACTS_WITH
H1-1	H2BC21	INTERACTS_WITH
H2BC21	H2BC5	INTERACTS_WITH
H2BC21	UHRF1	INTERACTS_WITH
HAPLN2	PTPRZ1	INTERACTS_WITH
HCN4	SCN5A	INTERACTS_WITH
HCN4	SHOX2	INTERACTS_WITH
HCN4	TBX18	INTERACTS_WITH
HCN4	TBX3	INTERACTS_WITH
HES1	HES5	INTERACTS_WITH
HES1	JAG1	INTERACTS_WITH
HES1	NOTCH3	INTERACTS_WITH
HES1	NOTCH4	INTERACTS_WITH
HES5	JAG1	INTERACTS_WITH
HES5	NOTCH3	INTERACTS_WITH
HES5	NOTCH4	INTERACTS_WITH
HES5	NRARP	INTERACTS_WITH
HJURP	KIF14	INTERACTS_WITH
HJURP	KIF18B	INTERACTS_WITH
HJURP	KIFC1	INTERACTS_WITH
HJURP	KNL1	INTERACTS_WITH
HJURP	MELK	INTERACTS_WITH
HJURP	MKI67	INTERACTS_WITH
HJURP	NCAPG	INTERACTS_WITH
HJURP	NDC80	INTERACTS_WITH
HJURP	NUSAP1	INTERACTS_WITH
HJURP	PBK	INTERACTS_WITH
HJURP	PIMREG	INTERACTS_WITH
HJURP	PTTG1	INTERACTS_WITH
HJURP	RRM2	INTERACTS_WITH
HJURP	SGO1	INTERACTS_WITH
HJURP	TOP2A	INTERACTS_WITH
HJURP	TPX2	INTERACTS_WITH
HJURP	TROAP	INTERACTS_WITH
HJURP	TTK	INTERACTS_WITH
HJURP	UBE2C	INTERACTS_WITH
HLA-DRA	IRF8	INTERACTS_WITH
HLA-DRA	MBP	INTERACTS_WITH
HLA-DRA	VIM	INTERACTS_WITH
HMGA1	HMGA2	INTERACTS_WITH
HMGA2	SNAI2	INTERACTS_WITH
HNF4A	PROX1	INTERACTS_WITH
HPSE2	SDC1	INTERACTS_WITH
HTR2A	HTR2C	INTERACTS_WITH
ICAM2	ITGAM	INTERACTS_WITH
ICAM2	PECAM1	INTERACTS_WITH
ICAM2	SELPLG	INTERACTS_WITH
IGF1	IGF2	INTERACTS_WITH
IGF1	IGFBP6	INTERACTS_WITH
IGF1	KIT	INTERACTS_WITH
IGF1	MET	INTERACTS_WITH
IGF1	MMP2	INTERACTS_WITH
IGF1	NGF	INTERACTS_WITH
IGF1	NGFR	INTERACTS_WITH
IGF1	NTF3	INTERACTS_WITH
IGF1	PDGFD	INTERACTS_WITH
IGF1	PDGFRA	INTERACTS_WITH
IGF1	PDGFRB	INTERACTS_WITH
IGF1	SST	INTERACTS_WITH
IGF1	TGFA	INTERACTS_WITH
IGF2	IGFBP6	INTERACTS_WITH
IGF2	KIT	INTERACTS_WITH
IGF2	MET	INTERACTS_WITH
IGF2	MMP2	INTERACTS_WITH
IGF2	NGFR	INTERACTS_WITH
IGF2	NNAT	INTERACTS_WITH
IGF2	PDGFRA	INTERACTS_WITH
IGF2	PDGFRB	INTERACTS_WITH
IL12RB2	IL15	INTERACTS_WITH
IL12RB2	SOCS3	INTERACTS_WITH
IL12RB2	STAT4	INTERACTS_WITH
IL15	IL33	INTERACTS_WITH
IL15	PDGFRA	INTERACTS_WITH
IL15	PDGFRB	INTERACTS_WITH
IL1RAPL2	PTPRD	INTERACTS_WITH
IL1RL2	IL33	INTERACTS_WITH
IL33	TLR2	INTERACTS_WITH
INA	NEFH	INTERACTS_WITH
INA	NEFL	INTERACTS_WITH
INA	NEFM	INTERACTS_WITH
INA	NES	INTERACTS_WITH
INA	VIM	INTERACTS_WITH
IQCJ	NRGN	INTERACTS_WITH
IRF8	ITGAM	INTERACTS_WITH
IRF8	MAFB	INTERACTS_WITH
IRF8	TYROBP	INTERACTS_WITH
ITGA11	ITGA2	INTERACTS_WITH
ITGA11	ITGA4	INTERACTS_WITH
ITGA11	ITGAX	INTERACTS_WITH
ITGA11	ITGB4	INTERACTS_WITH
ITGA11	LAMC3	INTERACTS_WITH
ITGA11	RELN	INTERACTS_WITH
ITGA2	ITGA4	INTERACTS_WITH
ITGA2	ITGAX	INTERACTS_WITH
ITGA2	ITGB4	INTERACTS_WITH
ITGA2	LAMC3	INTERACTS_WITH
ITGA2	MET	INTERACTS_WITH
ITGA2	TNC	INTERACTS_WITH
ITGA2	VWF	INTERACTS_WITH
ITGA4	ITGAM	INTERACTS_WITH
ITGA4	ITGAX	INTERACTS_WITH
ITGA4	ITGB4	INTERACTS_WITH
ITGA4	LAMC3	INTERACTS_WITH
ITGA4	PECAM1	INTERACTS_WITH
ITGA4	VWF	INTERACTS_WITH
ITGAM	ITGAX	INTERACTS_WITH
ITGAM	KIT	INTERACTS_WITH
ITGAM	MBP	INTERACTS_WITH
ITGAM	PECAM1	INTERACTS_WITH
ITGAM	RGS14	INTERACTS_WITH
ITGAM	SDC1	INTERACTS_WITH
ITGAM	SELPLG	INTERACTS_WITH
ITGAM	TLR2	INTERACTS_WITH
ITGAM	TYROBP	INTERACTS_WITH
ITGAX	ITGB4	INTERACTS_WITH
ITGAX	MME	INTERACTS_WITH
ITGAX	NRP1	INTERACTS_WITH
ITGAX	PECAM1	INTERACTS_WITH
ITGAX	SDC1	INTERACTS_WITH
ITGAX	TLR2	INTERACTS_WITH
ITGB4	LAMC3	INTERACTS_WITH
ITGB4	SDC1	INTERACTS_WITH
ITGB4	VWF	INTERACTS_WITH
ITIH2	TF	INTERACTS_WITH
ITIH5	PRELP	INTERACTS_WITH
ITPKA	PLCH2	INTERACTS_WITH
JAG1	NOTCH3	INTERACTS_WITH
JAG1	NOTCH4	INTERACTS_WITH
JAG1	NRARP	INTERACTS_WITH
JPH2	RYR1	INTERACTS_WITH
JPH2	TRDN	INTERACTS_WITH
KCNE1	KCNE4	INTERACTS_WITH
KCNE1	SCN4B	INTERACTS_WITH
KCNE1	SCN5A	INTERACTS_WITH
KCNE4	KCNQ5	INTERACTS_WITH
KCNK1	KCNK2	INTERACTS_WITH
KCNK1	KCNK9	INTERACTS_WITH
KCNMB2	KCNN2	INTERACTS_WITH
KIF14	KIF18B	INTERACTS_WITH
KIF14	KIFC1	INTERACTS_WITH
KIF14	MCM10	INTERACTS_WITH
KIF14	MELK	INTERACTS_WITH
KIF14	MKI67	INTERACTS_WITH
KIF14	MYBL2	INTERACTS_WITH
KIF14	NCAPG	INTERACTS_WITH
KIF14	NDC80	INTERACTS_WITH
KIF14	NUSAP1	INTERACTS_WITH
KIF14	PBK	INTERACTS_WITH
KIF14	TOP2A	INTERACTS_WITH
KIF14	TPX2	INTERACTS_WITH
KIF14	TTK	INTERACTS_WITH
KIF14	TUBB2B	INTERACTS_WITH
KIF18B	KIFC1	INTERACTS_WITH
KIF18B	MKI67	INTERACTS_WITH
KIF18B	TROAP	INTERACTS_WITH
KIF18B	UBE2C	INTERACTS_WITH
KIFC1	KPNA2	INTERACTS_WITH
KIFC1	MAD2L1	INTERACTS_WITH
KIFC1	MKI67	INTERACTS_WITH
KIFC1	MYBL2	INTERACTS_WITH
KIFC1	NCAPG	INTERACTS_WITH
KIFC1	NUSAP1	INTERACTS_WITH
KIFC1	PTTG1	INTERACTS_WITH
KIFC1	TOP2A	INTERACTS_WITH
KIFC1	TPX2	INTERACTS_WITH
KIFC1	TROAP	INTERACTS_WITH
KIFC1	TTK	INTERACTS_WITH
KIFC1	TUBB	INTERACTS_WITH
KIFC1	UBE2C	INTERACTS_WITH
KIT	MME	INTERACTS_WITH
KIT	NGF	INTERACTS_WITH
KIT	PDGFD	INTERACTS_WITH
KIT	PECAM1	INTERACTS_WITH
KIT	SNAI2	INTERACTS_WITH
KIT	SOCS1	INTERACTS_WITH
KIT	TFAP2A	INTERACTS_WITH
KIT	TFAP2B	INTERACTS_WITH
KIT	TGFA	INTERACTS_WITH
KLRC3	TYROBP	INTERACTS_WITH
KMO	TDO2	INTERACTS_WITH
KMO	TTR	INTERACTS_WITH
KNL1	MAD2L1	INTERACTS_WITH
KNL1	NDC80	INTERACTS_WITH
KNL1	SGO1	INTERACTS_WITH
KNL1	TOP2A	INTERACTS_WITH
KNL1	TTK	INTERACTS_WITH
KPNA2	MELK	INTERACTS_WITH
KPNA2	PBK	INTERACTS_WITH
KPNA2	RRM2	INTERACTS_WITH
KPNA2	TOP2A	INTERACTS_WITH
KPNA2	TPX2	INTERACTS_WITH
KPNA2	UBE2C	INTERACTS_WITH
LAMC3	SV2B	INTERACTS_WITH
LAMC3	SV2C	INTERACTS_WITH
LAPTM5	NCKAP1L	INTERACTS_WITH
LAPTM5	TYROBP	INTERACTS_WITH
LCAT	LPL	INTERACTS_WITH
LCAT	PLD4	INTERACTS_WITH
LGALS1	LUM	INTERACTS_WITH
LGALS1	S100A4	INTERACTS_WITH
LGALS1	SLC9C1	INTERACTS_WITH
LGALS1	VIM	INTERACTS_WITH
LGR6	RSPO2	INTERACTS_WITH
LGR6	RSPO3	INTERACTS_WITH
LHX1	NEUROG2	INTERACTS_WITH
LHX1	NKX2-2	INTERACTS_WITH
LHX1	OTX2	INTERACTS_WITH
LHX1	PAX2	INTERACTS_WITH
LHX6	MSX1	INTERACTS_WITH
LHX6	PDE1A	INTERACTS_WITH
LHX6	PVALB	INTERACTS_WITH
LHX6	SST	INTERACTS_WITH
LHX6	TBR1	INTERACTS_WITH
LILRB4	SYK	INTERACTS_WITH
LIPG	LPL	INTERACTS_WITH
LIPG	PLPP2	INTERACTS_WITH
LIPG	PLPP4	INTERACTS_WITH
LMOD1	MYH11	INTERACTS_WITH
LMOD1	MYL9	INTERACTS_WITH
LMOD1	MYLK	INTERACTS_WITH
LMOD1	TAGLN	INTERACTS_WITH
LMOD1	TPM2	INTERACTS_WITH
LMX1A	MSX1	INTERACTS_WITH
LMX1A	NEUROG2	INTERACTS_WITH
LMX1A	NKX2-2	INTERACTS_WITH
LMX1A	OTX2	INTERACTS_WITH
LMX1A	PAX2	INTERACTS_WITH
LOXHD1	OTOF	INTERACTS_WITH
